"",_Name,_Memory,_Address,_Initiate,_IsConverse,顺序
"",M14,M,1.4,false,false,12
"",M15,M,1.5,false,false,13
"",M16,M,1.6,false,false,14
"",M17,M,1.7,false,false,15
"",驱动电机报警继电,M,5.2,false,false,42
"",被测冷凝机组电磁阀,M,5.3,false,false,43
"",备用2,M,5.4,false,false,44
"",备用3,M,5.5,false,false,45
"",备用4,M,5.6,false,false,46
"",备用5,M,5.7,false,false,47
"",压缩机驱动电机,M,2.4,false,false,20
"",富士金电动调节控制UT1,M,0.0,false,false,0
"",量热器加热器控制UT2,M,0.1,false,false,1
"",卡尔调节阀控制UT3,M,0.2,false,false,2
"",卡尔调节阀控制UT4,M,0.3,false,false,3
"",水箱加热器控制UT5,M,0.4,false,false,4
"",压缩机驱动控制UT6,M,0.5,false,false,5
"",供水泵,M,0.6,false,false,6
"",循环泵,M,0.7,false,false,7
"",压缩冷凝机组-压缩机,M,1.0,false,false,8
"",压缩冷凝机组-冷凝风机1,M,1.1,false,false,9
"",压缩冷凝机组-冷凝风机2,M,2.0,false,false,16
"",压缩冷凝机组加热器,M,2.2,false,false,18
"",水箱加热器,M,2.3,false,false,19
"",压缩冷凝机组电磁阀,M,2.1,false,false,17
"",压缩机箱风机,M,2.5,false,false,21
"",压缩机机箱电加热器1,M,2.6,false,false,22
"",被测压缩冷凝机组压缩机,M,2.7,false,false,23
"",量热器加热器1,M,3.0,false,false,24
"",量热器加热器2,M,3.1,false,false,25
"",蜂鸣器报警,M,3.2,false,false,26
"",变频器运转,M,3.3,false,false,27
"",水路转换电磁阀,M,3.4,false,false,28
"",制冷剂路转换电磁阀1,M,3.5,true,false,29
"",制冷剂路转换电磁阀2,M,3.6,false,false,30
"",离合器,M,3.7,false,false,31
"",出口水温/流量计转换-UT4输入,M,4.0,false,false,32
"",进口水温/水箱出水温度转换-UT5输入,M,4.1,false,false,33
"",UT3/UT4输出转换-卡尔阀输入,M,4.2,false,false,34
"",富士金电动调节阀供电,M,4.3,false,false,35
"",压缩机箱电加热器2,M,4.4,false,false,36
"",离合器DC24DC12切换继电,M,4.5,false,false,37
"",电机变频器故障继电,M,4.6,false,false,38
"",水箱液位报警继电,M,4.7,false,false,39
"",量热器液位报警继电,M,5.0,false,false,40
"",压缩机组报警继电,M,5.1,false,false,41
"",低压保护软件寄存器M14,M,1.4,false,false,11
"",急停寄存器,M,1.3,false,false,10
